Time (msec),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Additive Adaptation - Bank 1 (ms),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Oil Temperature (°C),* Vehicle Speed (km/h)
0,16.67,17.48,0.00,0.00,0.00,0.00,13.5,103.5,83.15,0,718,2.800,54.8,107.2,0
159,16.67,17.62,0.00,0.00,0.00,0.00,13.5,103.5,83.04,0,719,2.800,54.8,107.2,0
320,16.67,17.69,0.00,0.00,0.00,0.00,13.6,103.5,83.15,0,718,2.800,54.8,107.2,0
521,16.67,17.69,0.00,0.00,0.00,0.00,13.5,103.5,83.04,0,719,2.800,54.8,107.2,0
720,16.67,17.69,0.00,0.00,0.00,0.00,13.5,102.8,82.92,0,720,2.804,54.8,107.2,0
881,16.67,17.69,0.00,0.00,0.00,0.00,13.6,102.8,84.97,0,719,2.808,54.8,107.2,0
1080,16.67,17.69,0.00,0.00,0.00,0.00,13.5,102.8,82.81,0,721,2.804,54.8,107.2,0
1281,15.17,17.69,0.00,0.00,0.00,0.00,13.5,102.8,82.92,0,720,2.772,54.8,107.2,0
1481,14.99,16.26,0.00,0.00,0.00,0.00,13.5,102.8,85.69,0,713,2.788,54.8,107.2,0
1680,14.81,16.08,0.00,0.00,0.00,0.00,13.5,102.8,89.08,0,717,2.812,54.8,107.2,0
1840,14.66,15.93,0.00,0.00,0.00,0.00,13.5,102.8,91.67,0,712,2.864,54.8,107.2,0
2001,14.51,15.79,0.00,0.00,0.00,0.00,13.1,102.8,95.69,0,711,2.932,54.8,107.2,0
2160,15.95,15.64,0.00,0.00,0.00,0.00,13.1,102.8,97.52,0,712,3.036,54.8,107.2,0
2321,16.09,15.49,0.00,0.00,0.00,0.00,13.2,102.8,98.77,0,717,3.120,54.8,107.2,0
2480,16.27,17.03,0.00,0.00,0.00,0.00,13.4,102.8,104.62,0,730,3.620,54.8,107.2,0
2641,16.52,17.30,0.00,0.00,0.00,0.00,13.4,102.8,336.33,0,768,5.688,54.8,107.2,0
2842,16.52,17.38,0.00,0.00,0.00,0.00,13.5,102.8,256.87,0,1038,8.092,54.8,107.2,0
3000,16.52,17.38,0.00,0.00,0.00,0.00,13.4,102.8,173.08,0,1372,7.164,55.5,107.2,0
3161,16.52,17.38,0.00,0.00,0.00,0.00,13.4,102.8,155.15,0,1602,6.632,55.5,107.2,0
3321,16.52,17.38,0.00,0.00,0.00,0.00,13.5,102.8,156.13,0,1672,6.092,55.5,107.2,0
3480,14.14,15.00,0.00,0.00,0.00,0.00,13.4,102.8,160.56,0,1652,5.660,55.5,107.2,0
3641,13.12,13.98,0.00,0.00,0.00,0.00,13.4,102.8,163.52,0,1622,5.496,55.5,107.2,0
3840,11.84,12.70,0.00,0.00,0.00,0.00,13.4,102.8,169.20,0,1584,5.464,55.5,107.2,0
4001,10.88,11.75,0.00,0.00,0.00,0.00,13.4,102.8,170.47,0,1564,5.452,55.5,107.2,0
4160,9.93,10.79,0.00,0.00,0.00,0.00,13.5,102.8,170.75,0,1537,5.464,55.5,107.2,0
4321,8.98,9.84,0.00,0.00,0.00,0.00,13.4,102.8,173.00,0,1501,5.448,55.5,107.2,0
4480,8.03,8.89,0.00,0.00,0.00,0.00,13.5,102.8,176.34,0,1449,5.496,55.5,107.2,0
4680,6.87,7.73,0.00,0.00,0.00,0.00,13.4,102.8,169.29,0,1378,5.324,55.5,107.2,2
4840,6.04,6.90,0.00,0.00,0.00,0.00,13.3,102.8,159.20,0,1317,5.136,55.5,107.2,2
5001,5.26,6.12,0.00,0.00,0.00,0.00,13.4,102.8,143.84,0,1226,4.864,55.5,107.2,2
