Time (msec),* Battery voltage (V),* Coolant Temperature (°C),* Electric fan (%),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Ignition Angle (° CRK),* Intake Air Temperature (°C),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Mass Airflow (kg/h),* Oil Temperature (°C),* Radiator outlet temperature (°C),* Vehicle Speed (km/h),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
0,13.6,101.2,0,83.83,762,2.816,1.12,45.0,8.85,11.15,11.50,106.4,60.8,0,0.14,0.11,1.29,1.60
201,13.5,101.2,0,84.48,756,2.828,1.88,45.0,9.12,11.42,11.50,106.4,60.8,0,0.14,0.11,1.29,1.60
399,13.5,102.0,0,84.72,754,2.836,1.88,45.0,9.40,11.61,11.50,106.4,60.8,0,0.14,0.11,1.29,1.60
559,13.5,102.0,0,84.59,755,2.840,1.88,45.0,9.62,11.61,11.50,106.4,60.8,0,0.14,0.11,1.29,1.60
720,13.5,102.0,0,84.38,757,2.844,1.88,45.0,9.84,11.61,11.50,106.4,60.8,0,0.14,0.11,1.29,1.60
919,13.6,102.0,0,84.04,760,2.848,1.50,45.0,10.11,11.61,11.50,106.4,60.8,0,0.14,0.11,1.29,1.60
1079,13.6,102.0,0,84.38,757,2.856,1.50,45.0,10.22,11.61,11.50,106.4,60.8,0,0.14,0.11,1.29,1.60
1240,13.6,102.0,0,84.38,757,2.856,1.50,45.0,10.22,11.61,11.50,106.4,60.8,0,0.14,0.11,1.29,1.60
1399,13.6,102.0,0,82.01,762,2.836,1.12,45.0,10.22,9.80,11.25,106.4,60.8,0,0.14,0.11,1.29,1.60
1559,13.5,102.0,0,82.32,759,2.824,1.50,45.0,10.22,9.58,11.25,106.4,60.8,0,0.14,0.11,1.29,1.60
1718,13.5,102.0,0,82.54,757,2.808,1.88,45.0,10.22,9.36,11.25,106.4,60.8,0,0.14,0.11,1.29,1.60
1879,13.5,102.0,0,83.19,751,2.812,2.25,45.0,10.22,9.14,11.25,106.4,60.0,0,0.14,0.11,1.29,1.60
2079,13.5,102.0,0,83.53,748,2.772,2.62,45.0,8.45,8.86,11.25,106.4,60.0,0,0.14,0.11,1.29,1.60
