Time (msec),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Oil Temperature (°C),* Radiator outlet temperature (°C),* Throttle Position actual (°TPS),* Throttle Position pedal (°TPS),* Vehicle Speed (km/h),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
0,48.0,103.41,752,3.624,29.2,16.76,14.63,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
160,48.0,103.81,749,3.580,29.2,15.30,14.48,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
359,48.0,104.66,743,3.592,29.2,15.12,14.30,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
518,48.0,104.23,746,3.596,29.2,14.97,15.59,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
680,48.0,104.11,747,3.588,29.2,14.83,15.73,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
879,48.0,104.23,746,3.588,28.5,14.64,15.92,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1039,48.0,104.66,743,3.588,28.5,14.50,16.06,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1199,48.0,104.38,745,3.628,28.5,15.88,16.21,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1399,48.0,104.38,745,3.640,29.2,16.06,16.39,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1599,48.0,104.23,746,3.648,29.2,16.24,16.58,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1761,48.0,103.81,749,3.652,29.2,16.39,16.72,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1959,48.0,103.13,754,3.644,29.2,16.57,16.91,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2119,48.0,103.26,753,3.648,29.2,16.61,16.93,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2319,48.0,103.68,750,3.608,29.2,15.18,15.49,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2520,48.0,103.96,748,3.596,29.2,14.99,15.31,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2719,48.0,103.68,750,3.592,29.2,14.81,15.13,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2919,48.0,104.23,746,3.592,29.2,14.63,14.94,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3080,48.0,104.11,747,3.580,29.2,14.48,14.80,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3279,48.0,104.38,745,3.632,29.2,15.99,16.27,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3479,48.0,103.26,753,3.632,29.2,16.17,16.45,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3679,48.0,103.53,751,3.636,29.2,16.35,16.63,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3840,48.0,103.26,753,3.644,29.2,16.50,16.78,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4039,48.0,103.68,750,3.644,29.2,16.57,16.81,31.6,30.0,0.0,0.0,0,0.00,0.00,0.00,0.00
