Time (msec),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Oil Temperature (°C),* Throttle Position pedal (°TPS),* Throttle Position actual (°TPS),* Vehicle Speed (km/h),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
0,96.0,94.63,719,3.084,42.8,12.20,14.10,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
160,96.0,94.89,717,3.128,42.8,13.83,13.88,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
322,96.0,95.29,714,3.136,42.8,14.05,13.66,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
521,96.0,94.76,718,3.144,42.8,14.32,13.39,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
721,96.0,94.63,719,3.152,42.8,14.60,13.11,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
881,96.0,94.63,719,3.156,42.8,14.82,12.89,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
1082,96.0,94.36,721,3.112,42.8,13.21,14.61,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
1280,96.0,94.51,720,3.108,42.8,13.02,14.88,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
1441,96.0,94.76,718,3.104,42.8,12.88,15.10,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
1602,96.0,94.36,721,3.100,42.8,12.73,15.32,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
1803,96.0,94.51,720,3.096,42.8,12.55,15.59,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
2000,96.0,95.16,715,3.136,42.8,14.00,15.87,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
2162,96.0,95.04,716,3.140,42.8,14.14,14.04,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
2361,96.0,95.04,716,3.144,42.8,14.33,13.86,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
2561,96.0,94.63,719,3.148,42.8,14.51,13.67,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
2761,96.0,94.76,718,3.152,42.8,14.69,13.49,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
2961,96.0,94.36,721,3.160,42.8,14.87,14.74,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
3160,96.0,95.04,716,3.120,42.8,13.49,14.92,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
3321,96.0,94.51,720,3.116,42.8,13.34,15.07,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
3522,96.0,94.63,719,3.112,42.8,13.16,15.25,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
3721,96.0,94.23,722,3.108,42.8,12.98,15.44,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
3921,96.0,94.10,723,3.104,42.8,12.79,15.51,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
4121,96.0,94.51,720,3.096,42.8,12.61,14.03,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
4281,96.0,94.63,719,3.136,42.8,14.04,13.88,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
4440,96.0,94.51,720,3.140,42.8,14.19,13.74,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
4601,96.0,94.51,720,3.144,42.8,14.34,13.59,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
4762,96.0,94.63,719,3.148,42.8,14.48,13.45,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
4962,96.0,94.89,717,3.152,42.8,14.67,13.26,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
5160,96.0,94.89,717,3.152,42.8,14.69,13.08,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
5322,96.0,94.36,721,3.116,42.8,13.21,14.33,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
5521,96.0,94.51,720,3.108,42.8,13.02,14.51,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
5680,96.0,94.76,718,3.104,42.8,12.88,14.66,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
5881,96.0,94.51,720,3.100,42.8,12.69,14.84,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
6080,96.0,94.51,720,3.096,42.8,12.51,15.02,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
6282,96.0,94.36,721,3.136,42.8,14.05,15.21,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
6482,96.0,94.23,722,3.140,42.8,14.24,15.39,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
6681,96.0,94.10,723,3.144,42.8,14.42,15.57,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
6881,96.0,94.36,721,3.152,42.8,14.60,15.76,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
7081,96.0,94.36,721,3.156,43.5,14.70,15.77,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
7281,96.0,94.36,721,3.116,43.5,13.25,14.22,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
7441,96.0,94.63,719,3.112,43.5,13.11,14.08,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
7602,96.0,94.76,718,3.108,43.5,12.96,13.93,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
7801,96.0,94.76,718,3.100,43.5,12.78,13.75,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
7960,96.0,94.89,717,3.136,43.5,14.03,13.60,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
8121,96.0,96.97,716,3.140,43.5,14.17,13.45,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
8281,96.0,97.79,710,3.180,43.5,14.32,13.31,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
8481,96.0,101.69,710,3.240,43.5,14.50,14.78,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
8680,96.0,107.12,713,3.336,43.5,14.68,14.96,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
8843,96.0,107.56,723,3.408,43.5,14.83,15.11,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
9041,96.0,105.80,735,3.448,43.5,15.01,15.29,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
9201,96.0,105.08,740,3.504,43.5,15.16,15.44,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
9362,96.0,105.82,748,3.520,43.5,15.31,15.58,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
9521,96.0,107.39,750,3.524,43.5,15.38,15.73,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
9680,96.0,104.70,756,3.492,43.5,13.97,15.81,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
9841,96.0,106.39,757,3.492,43.5,13.83,14.42,88.9,0.0,0.0,0,0.00,0.00,0.00,0.00
10001,96.0,108.22,757,3.496,43.5,13.66,14.25,88.9,2.0,0.0,0,0.00,0.00,0.00,0.00
10163,96.0,124.11,772,3.656,43.5,13.37,13.96,88.9,4.3,0.0,0,0.00,0.00,0.00,0.00
10360,96.0,121.48,823,3.820,43.5,12.95,13.54,88.9,5.9,0.0,0,0.00,0.00,0.00,0.00
10522,96.0,114.28,887,3.920,43.5,14.44,13.17,88.9,6.2,0.0,0,0.00,0.00,0.00,0.00
10721,96.8,96.94,1017,3.880,43.5,14.89,15.29,88.9,6.2,0.0,0,0.00,0.00,0.00,0.00
10881,96.8,88.70,1127,3.476,43.5,12.60,12.92,88.9,7.8,0.0,0,0.00,0.00,0.00,0.00
11041,96.8,92.73,1213,3.260,43.5,12.09,12.41,88.9,9.0,0.0,0,0.00,0.00,0.00,0.00
11201,96.8,104.62,1261,3.196,43.5,11.58,11.90,88.9,10.5,0.0,0,0.00,0.00,0.00,0.00
11363,96.8,119.17,1270,3.376,43.5,11.06,11.39,88.9,10.9,0.0,0,0.00,0.00,0.00,0.00
11560,96.8,135.81,1227,3.740,43.5,10.42,13.03,88.9,11.7,0.0,0,0.00,0.00,0.00,0.00
11762,96.8,180.56,1169,4.600,43.5,12.96,13.67,88.9,14.8,0.0,0,0.00,0.00,0.00,0.00
11961,96.8,234.45,1155,6.356,43.5,13.80,14.50,88.9,15.6,0.0,0,0.00,0.00,0.00,0.00
12161,96.8,225.76,1224,7.140,43.5,11.57,12.33,88.9,15.6,0.0,0,0.00,0.00,0.00,0.00
12321,96.8,205.46,1318,7.108,43.5,10.57,11.33,88.9,15.6,0.0,0,0.00,0.00,0.00,0.00
12482,96.8,193.02,1410,6.820,43.5,9.48,10.24,88.9,15.6,0.0,0,0.00,0.00,0.00,0.00
12681,96.8,186.85,1464,6.420,43.5,8.11,8.87,88.9,15.6,0.0,0,0.00,0.00,0.00,0.00
12881,96.8,193.21,1423,6.180,43.5,6.79,7.55,88.9,15.6,0.0,0,0.00,0.00,0.00,0.00
13081,96.8,199.69,1349,6.136,44.2,5.53,6.29,88.9,15.6,0.0,0,0.00,0.00,0.00,0.00
13281,96.8,214.15,1271,6.288,44.2,4.32,5.08,88.9,15.6,0.0,0,0.00,0.00,0.00,0.00
13442,96.8,219.51,1221,6.608,44.2,5.62,4.11,88.9,15.6,0.0,0,0.00,0.00,0.00,0.00
13641,96.8,221.48,1185,6.928,44.2,6.81,6.74,88.9,15.6,0.0,4,0.00,0.00,0.00,0.00
13801,96.8,221.44,1179,7.080,44.2,7.84,7.76,88.9,15.6,0.0,4,0.00,0.00,0.00,0.00
13961,96.8,216.50,1193,7.152,44.2,8.67,8.79,88.9,15.6,0.0,4,0.00,0.00,0.00,0.00
14121,96.8,215.67,1204,6.936,44.2,6.11,6.23,88.9,15.6,0.0,4,0.00,0.00,0.00,0.00
14281,96.8,211.88,1219,6.828,44.2,5.08,5.20,88.9,15.6,0.0,4,0.00,0.00,0.00,0.00
14440,96.8,215.65,1217,6.720,44.2,4.11,4.23,88.9,15.6,0.0,4,0.00,0.00,0.00,0.00
14641,96.8,217.92,1198,6.660,44.2,2.92,3.04,88.9,15.2,0.0,9,0.00,0.00,0.00,0.00
14842,96.8,209.68,1212,6.800,44.2,5.34,6.17,88.9,15.2,0.0,9,0.00,0.00,0.00,0.00
15042,96.8,40.30,1309,4.872,44.2,6.57,7.41,88.9,0.0,0.0,9,0.00,0.00,0.00,0.00
15240,96.8,42.04,1486,3.656,44.2,6.97,7.69,88.9,0.0,0.0,9,0.00,0.00,0.00,0.00
15401,96.8,39.90,1531,2.868,44.2,4.35,4.89,88.9,0.0,0.0,9,0.00,0.00,0.00,0.00
15602,96.8,41.66,1433,2.264,44.2,3.57,4.11,88.9,0.0,0.0,12,0.00,0.00,0.00,0.00
15801,96.8,46.32,1289,1.716,44.2,2.92,3.46,88.9,0.0,0.0,12,0.00,0.00,0.00,0.00
15961,96.8,54.37,1149,1.860,44.2,2.48,3.03,88.9,0.0,0.0,12,0.00,0.00,0.00,0.00
16162,96.8,68.42,974,2.032,43.5,2.00,2.54,88.9,0.0,0.0,12,0.00,0.00,0.00,0.00
16360,96.8,87.20,844,1.948,43.5,1.62,2.16,88.9,0.0,0.0,12,0.00,0.00,0.00,0.00
16562,96.8,94.30,751,2.196,43.5,1.29,1.83,89.7,0.0,0.0,12,0.00,0.00,0.00,0.00
16762,96.8,96.61,690,2.376,43.5,1.01,1.55,89.7,0.0,0.0,12,0.00,0.00,0.00,0.00
16920,96.8,94.06,679,2.492,43.5,0.79,1.33,89.7,0.0,0.0,12,0.00,0.00,0.00,0.00
17081,96.8,92.03,679,2.544,43.5,0.57,1.11,89.7,0.0,0.0,12,0.00,0.00,0.00,0.00
17242,96.8,90.95,687,2.568,43.5,0.35,0.93,89.7,0.0,0.0,12,0.00,0.00,0.00,0.00
17441,96.8,90.04,694,2.588,43.5,0.17,0.93,89.7,0.0,0.0,12,0.00,0.00,0.00,0.00
17641,96.8,88.89,703,2.628,43.5,1.84,2.78,89.7,0.0,0.0,10,0.00,0.00,0.00,0.00
17841,96.8,88.13,709,2.672,43.5,2.12,3.06,89.7,0.0,0.0,10,0.00,0.00,0.00,0.00
18002,96.8,87.51,714,2.664,43.5,2.34,3.28,89.7,0.0,0.0,10,0.00,0.00,0.00,0.00
18201,96.8,87.39,715,2.652,43.5,2.61,3.55,89.7,0.0,0.0,10,0.00,0.00,0.00,0.00
18401,96.8,87.64,713,2.644,43.5,2.89,3.82,89.7,0.0,0.0,10,0.00,0.00,0.00,0.00
18601,96.8,88.13,709,2.648,44.2,3.16,4.10,89.7,0.0,0.0,9,0.00,0.00,0.00,0.00
18762,96.8,88.26,708,2.652,44.2,3.38,4.32,89.7,0.0,0.0,9,0.00,0.00,0.00,0.00
18961,96.8,88.26,708,2.660,44.2,3.66,4.59,89.7,0.0,0.0,9,0.00,0.00,0.00,0.00
19122,96.8,88.64,705,2.664,43.5,3.87,4.81,89.7,0.0,0.0,9,0.00,0.00,0.00,0.00
19281,96.8,89.27,700,2.632,43.5,4.09,5.03,89.7,0.0,0.0,9,0.00,0.00,0.00,0.00
19482,96.8,91.35,684,2.672,43.5,4.37,5.31,89.7,0.0,0.0,9,0.00,0.00,0.00,0.00
19683,96.8,92.58,675,2.740,43.5,4.64,5.58,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
19881,96.8,92.58,675,2.788,43.5,4.92,5.86,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
20041,96.8,92.98,672,2.800,44.2,5.14,6.08,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
20202,96.8,93.13,671,2.776,44.2,5.36,6.30,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
20361,96.8,92.30,677,2.832,44.2,5.58,6.52,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
20521,96.8,90.95,687,2.836,44.2,5.80,6.74,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
20681,96.8,90.16,693,2.820,44.2,6.02,6.96,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
20841,96.8,89.53,698,2.808,44.2,6.24,7.18,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
21002,96.8,89.53,698,2.804,44.2,6.46,7.40,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
21161,96.8,89.91,695,2.808,44.2,6.68,7.61,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
21321,96.8,92.30,692,2.816,44.2,6.90,7.83,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
21482,96.8,90.42,691,2.820,44.2,7.12,8.05,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
21642,96.8,90.42,691,2.832,44.2,7.34,8.27,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
21842,96.8,89.78,696,2.836,44.2,7.61,8.55,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
22002,96.8,89.78,696,2.840,44.2,7.83,8.77,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
22201,96.8,89.53,698,2.844,44.2,8.10,9.04,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
22402,96.8,89.27,700,2.852,44.2,8.38,9.32,89.7,0.0,0.0,8,0.00,0.00,0.00,0.00
22601,96.8,89.27,700,2.856,44.2,8.65,9.59,89.7,0.0,0.0,5,0.00,0.00,0.00,0.00
22801,96.8,89.40,699,2.864,44.2,8.93,9.87,89.7,0.0,0.0,5,0.00,0.00,0.00,0.00
23000,96.8,91.24,700,2.872,44.2,9.20,10.14,89.7,0.0,0.0,5,0.00,0.00,0.00,0.00
23161,96.8,90.99,702,2.872,44.2,9.42,10.36,89.7,0.0,0.0,5,0.00,0.00,0.00,0.00
23321,96.8,89.27,700,2.876,44.2,9.64,10.58,89.7,0.0,0.0,5,0.00,0.00,0.00,0.00
23480,96.8,89.40,699,2.884,44.2,9.86,10.80,89.7,0.0,0.0,5,0.00,0.00,0.00,0.00
23681,97.5,89.65,697,2.892,44.2,10.14,11.08,89.7,0.0,0.0,2,0.00,0.00,0.00,0.00
23881,97.5,90.04,694,2.908,44.2,10.41,11.35,89.7,0.0,0.0,2,0.00,0.00,0.00,0.00
24041,97.5,90.29,692,2.908,44.2,10.63,11.57,89.7,0.0,0.0,2,0.00,0.00,0.00,0.00
24201,97.5,91.77,696,2.912,44.2,10.85,11.79,89.7,0.8,0.0,2,0.00,0.00,0.00,0.00
