Time (msec),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Ignition Angle (° CRK),* Lambda Integrator - Bank 2 (%),* Lambda Integrator - Bank 1 (%)
0,83.87,745,2.272,9.38,0.88,4.82
119,82.87,754,2.272,8.25,1.04,4.99
198,83.19,751,2.272,8.62,1.15,5.10
278,83.76,746,2.276,9.38,1.26,5.21
359,84.21,742,2.276,9.38,1.37,5.32
440,83.64,747,2.280,9.00,1.48,5.43
559,83.76,746,2.284,9.00,1.65,5.59
640,83.64,747,2.284,9.00,1.76,5.70
760,83.87,745,2.292,9.38,1.92,5.86
878,82.77,755,2.292,8.25,2.09,6.03
959,82.77,755,2.280,8.25,2.20,6.14
1078,82.87,754,2.284,8.62,2.36,6.30
1159,82.98,753,2.284,8.62,2.47,6.41
1238,82.77,755,2.292,8.25,2.58,6.52
1318,83.19,751,2.292,9.00,2.69,6.63
1398,82.77,755,2.296,8.25,2.80,6.74
1479,82.98,753,2.296,8.62,2.91,6.85
1558,82.98,753,2.304,8.62,3.02,6.96
1638,82.87,754,2.304,8.25,3.13,7.07
1719,82.87,754,2.304,8.62,3.24,7.18
1799,82.77,755,2.308,8.25,3.35,7.29
1880,82.77,755,2.308,8.25,3.46,7.40
2000,82.77,755,2.312,8.25,3.63,7.57
2118,82.77,755,2.320,8.25,3.79,7.73
2199,83.09,752,2.316,8.62,3.90,7.84
2278,82.98,753,2.324,8.62,4.01,7.95
2359,82.98,753,2.320,8.62,4.12,8.06
2439,82.98,753,2.324,8.62,4.23,8.17
2559,83.09,752,2.328,8.62,4.40,8.34
2680,83.19,751,2.332,8.62,4.56,8.35
2798,83.19,751,2.296,8.62,4.72,6.60
2918,82.64,756,2.296,8.25,4.89,6.44
2999,80.71,757,2.276,8.25,5.00,6.33
3118,80.82,756,2.256,8.25,5.16,6.16
3198,80.92,755,2.248,8.25,5.27,6.05
3278,81.24,752,2.240,8.62,5.38,5.94
3359,82.11,744,2.240,9.38,5.49,5.83
3480,81.56,749,2.236,9.00,5.66,5.67
3599,81.69,748,2.236,9.00,5.82,5.50
3719,81.45,750,2.232,9.00,5.99,5.34
3805,81.45,750,2.228,9.00,6.10,5.23
3920,81.45,750,2.228,9.00,6.26,5.08
4038,81.03,754,2.260,8.25,6.43,6.80
4120,81.45,750,2.260,9.00,6.54,6.91
4240,81.45,750,2.264,9.00,6.70,7.08
4359,81.45,750,2.268,8.62,6.87,7.24
4440,81.69,748,2.268,9.00,6.98,7.35
4559,79.50,751,2.256,8.62,7.14,7.52
4643,79.61,750,2.248,8.62,7.25,7.63
4760,79.61,750,2.232,9.00,7.42,7.79
4880,79.29,753,2.228,8.62,7.58,7.96
5000,79.50,751,2.236,8.62,7.75,8.12
5118,79.82,748,2.240,9.00,7.91,8.29
5199,79.61,750,2.240,8.62,8.02,8.40
5320,79.72,749,2.244,9.00,8.19,8.56
5440,79.93,747,2.248,9.00,8.35,8.73
5560,79.82,748,2.248,9.00,8.52,8.89
5680,80.25,744,2.252,9.38,8.68,9.06
5799,80.35,743,2.256,9.38,8.84,9.22
5879,80.69,740,2.260,9.75,8.95,9.33
5958,80.46,742,2.264,9.38,9.06,9.44
6038,80.25,744,2.260,9.38,9.17,9.55
6159,79.61,750,2.264,8.62,9.34,9.71
6239,79.82,748,2.268,9.00,9.45,9.82
6360,79.29,753,2.236,8.25,9.61,8.04
6479,79.19,754,2.228,8.25,9.78,7.88
6560,79.82,748,2.224,9.00,9.89,7.77
6678,80.25,744,2.224,9.38,10.05,7.60
6758,79.93,747,2.220,9.00,10.16,7.49
6838,79.93,747,2.220,9.00,10.27,7.38
6918,80.14,745,2.216,9.38,10.38,7.27
6998,80.46,742,2.216,9.38,10.49,7.16
7079,80.03,746,2.212,9.00,10.60,7.05
7159,80.59,741,2.212,9.38,10.71,6.95
7240,80.14,745,2.208,9.00,10.82,6.84
7318,80.25,744,2.208,9.38,10.93,6.73
7399,80.35,743,2.204,9.38,11.04,6.62
7479,80.59,741,2.204,9.38,11.04,6.55
7558,78.28,745,2.228,9.00,11.04,8.20
7638,80.03,746,2.228,9.00,9.32,8.28
7719,79.72,749,2.232,9.00,9.21,8.35
7799,80.25,744,2.228,9.38,9.10,8.42
7879,77.96,748,2.224,9.00,8.99,8.50
7958,78.70,741,2.224,9.38,8.88,8.57
8039,78.17,746,2.220,9.00,8.77,8.64
8120,78.28,745,2.216,9.38,8.66,8.72
8239,78.49,743,2.220,9.38,8.49,8.82
8319,78.81,740,2.220,9.75,8.38,8.90
8400,78.06,747,2.220,9.00,8.27,8.97
8518,78.38,744,2.224,9.38,8.11,9.08
8598,77.85,749,2.220,9.00,8.00,9.15
8678,78.17,746,2.220,9.00,7.89,9.23
8759,78.49,743,2.224,9.38,7.78,9.30
8839,78.49,743,2.228,9.38,7.67,9.37
8959,78.91,739,2.224,9.75,7.50,9.48
9080,78.28,745,2.228,9.00,9.13,9.59
9199,78.70,741,2.228,9.38,9.30,9.70
9279,79.46,734,2.204,10.50,9.41,9.78
9398,79.02,738,2.240,9.75,9.57,9.89
9480,79.34,735,2.188,10.12,9.68,8.53
9599,79.46,734,2.220,9.75,9.85,8.42
9718,78.81,740,2.220,9.75,10.01,8.31
9799,78.70,741,2.220,9.38,10.12,8.23
9919,78.91,739,2.216,9.75,10.29,8.12
10039,78.38,744,2.212,9.38,10.45,8.01
10119,78.28,745,2.212,9.00,10.56,7.94
10239,78.49,743,2.204,9.38,10.72,7.83
10319,78.38,744,2.204,9.38,10.83,7.76
10398,78.38,744,2.204,9.38,10.94,7.69
10479,78.81,740,2.200,9.75,11.05,7.61
10559,78.91,739,2.204,9.75,11.16,7.54
10639,78.49,743,2.204,9.38,11.27,7.47
