Time (msec),* Engine Load (mg/stroke),* Fuel Injector Pulse Width (ms),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Oil Temperature (°C),* Engine Speed (RPM)
0,79.63,1.960,-4.29,-0.45,100.9,715
119,78.74,1.956,-4.46,-0.29,100.9,723
199,78.74,1.948,-4.57,-0.18,100.9,723
279,78.85,1.952,-4.68,-0.07,100.9,722
360,79.40,1.952,-4.79,0.04,100.9,717
479,79.40,1.976,-3.28,-1.46,100.9,717
560,79.29,1.976,-3.17,-1.56,100.9,718
680,79.19,1.980,-3.00,-1.73,100.9,719
799,79.40,1.984,-2.84,-1.89,100.9,717
879,79.40,1.988,-2.73,-2.00,100.9,717
959,79.29,1.988,-2.62,-2.11,100.9,718
1039,79.19,1.992,-2.51,-2.22,100.9,719
1119,79.06,1.992,-2.40,-2.33,100.9,720
1199,79.19,1.988,-2.29,-2.44,100.9,719
1279,78.95,1.996,-2.18,-2.55,100.9,721
1399,79.06,2.000,-2.01,-2.72,100.9,720
1479,79.40,1.996,-1.90,-2.83,100.9,717
1560,79.19,2.004,-1.79,-2.86,100.9,719
1679,79.06,2.004,-1.65,-2.86,100.9,720
1810,78.74,2.004,-1.65,-2.86,100.9,723
1919,78.74,2.000,-1.65,-2.86,100.9,723
2000,78.74,2.004,-1.65,-1.21,100.9,723
2119,79.29,2.000,-1.65,-1.04,100.9,718
2199,79.29,2.000,-1.65,-0.93,100.9,718
2319,78.42,2.004,-1.65,-0.77,100.9,726
2400,78.19,2.000,-1.65,-0.66,100.9,728
2519,78.64,1.972,-3.38,-0.49,100.9,724
2598,78.53,1.972,-3.49,-0.38,100.9,725
2680,79.06,1.968,-3.60,-0.27,100.9,720
2800,78.42,1.964,-3.77,-0.11,100.9,726
2919,78.95,1.964,-3.93,0.06,100.9,721
3000,79.50,1.964,-4.04,0.17,100.9,716
3119,79.40,1.956,-4.20,-1.61,100.9,717
3200,79.63,1.960,-4.31,-1.72,100.9,715
3319,79.50,1.952,-4.48,-1.88,100.9,716
3399,79.40,1.952,-4.59,-1.99,100.9,717
3480,79.19,1.952,-4.70,-2.10,100.9,719
3599,79.50,1.948,-4.86,-2.27,100.9,716
3680,80.42,1.980,-3.35,-2.38,100.9,708
3799,79.63,1.980,-3.19,-2.54,100.9,715
3879,79.63,1.984,-3.08,-2.65,100.9,715
3959,79.29,1.988,-2.97,-2.76,100.9,718
4039,79.06,1.988,-2.86,-2.82,100.9,720
4119,78.74,1.988,-2.75,-2.82,100.9,723
4239,78.95,1.992,-2.58,-2.82,100.9,721
4319,79.29,1.996,-2.47,-2.82,100.9,718
4400,79.06,1.996,-2.36,-2.82,100.9,720
4519,79.74,2.000,-2.20,-1.14,100.9,714
4600,79.29,2.000,-2.09,-1.03,100.9,718
4720,78.95,2.004,-1.92,-0.87,100.9,721
4839,78.85,2.008,-1.76,-0.70,100.9,722
4919,78.95,2.008,-1.76,-0.59,100.9,721
4999,79.06,2.008,-1.76,-0.48,100.9,720
5081,78.95,2.008,-1.76,-0.37,100.9,721
5198,79.40,2.008,-1.76,-0.21,100.9,717
5280,81.56,2.012,-1.76,-0.10,100.9,715
5399,82.83,2.040,-1.76,0.07,100.9,704
5479,86.29,2.048,-1.76,0.18,100.9,692
5559,89.85,2.112,-1.76,0.29,100.9,680
5639,95.06,2.160,-1.76,0.40,100.9,672
5719,100.23,2.148,-3.51,0.51,100.9,665
5799,106.33,2.216,-3.62,0.62,100.9,666
5880,111.50,2.320,-3.73,0.73,100.9,660
6000,114.85,2.448,-2.16,0.89,100.9,665
