Time (msec),* Battery voltage (V),* Coolant Temperature (°C),* Electric fan (%),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Idle speed controller (%),* Ignition Angle (° CRK),* Idle speed duty cycle (%),* Knock sensor 1 (V),* Intake Air Temperature (°C),* Knock sensor 2 (V),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Lambda post cat heating 1 (%),* Lambda pre cat heating 1 (%),* Lambda pre cat heating 2 (%),* Mass Airflow (kg/h),* Oil Temperature (°C),* Throttle Position actual (°TPS),* Throttle Position pedal (°TPS),* Radiator outlet temperature (°C),* Throttle adaptation (V),* Vehicle Speed (km/h),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
0,11.5,27.8,0,0.00,0,0.000,13.542,6.00,57.672,0.14,29.2,0.14,0.00,0.00,0,0,0,0.00,26.8,0.0,0.0,24.0,0.19,0,0.10,0.12,0.58,0.68
161,11.5,27.8,0,0.00,0,0.000,13.542,6.00,57.672,0.14,29.2,0.14,0.00,0.00,0,0,0,0.00,26.8,0.0,0.0,24.0,0.19,0,0.10,0.12,0.58,0.68
361,11.5,27.8,0,0.00,0,0.000,13.542,6.00,57.672,0.14,29.2,0.14,0.00,0.00,0,0,0,0.00,26.8,0.0,0.0,24.0,0.19,0,0.10,0.12,0.58,0.68
521,11.5,27.8,0,0.00,0,0.000,13.542,6.00,57.672,0.14,29.2,0.14,0.00,0.00,0,0,0,0.00,26.8,0.0,0.0,24.0,0.19,0,0.10,0.12,0.58,0.68
683,11.5,27.8,0,0.00,0,0.000,13.542,6.00,57.672,0.14,29.2,0.14,0.00,0.00,0,0,0,0.00,26.8,0.0,0.0,24.0,0.19,0,0.10,0.12,0.58,0.68
882,11.5,27.8,0,0.00,0,0.000,13.542,6.00,57.672,0.14,29.2,0.14,0.00,0.00,0,0,0,0.00,26.8,0.0,0.0,24.0,0.19,0,0.10,0.12,0.58,0.68
1081,11.5,27.8,0,0.00,0,0.000,13.542,6.00,57.672,0.14,29.2,0.14,0.00,0.00,0,0,0,0.00,26.8,0.0,0.0,24.0,0.19,0,0.10,0.12,0.58,0.68
1242,11.4,27.8,0,0.00,0,0.000,13.542,6.00,57.672,0.14,29.2,0.14,0.00,0.00,0,0,0,0.00,26.8,0.0,0.0,24.0,0.19,0,0.10,0.12,0.58,0.68
1441,11.5,27.8,0,0.00,0,0.000,13.542,6.00,57.672,0.14,29.2,0.14,0.00,0.00,0,0,0,0.00,26.8,0.0,0.0,24.0,0.19,0,0.10,0.12,0.58,0.68
1640,11.5,27.8,0,0.00,0,0.000,13.542,6.00,57.672,0.14,29.2,0.14,0.00,0.00,0,0,0,0.00,26.8,0.0,0.0,24.0,0.19,0,0.10,0.12,0.58,0.68
