Time (msec),* Coolant Temperature (°C),* Electric fan (%),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Idle speed controller (%),* Idle speed duty cycle (%),* Ignition Angle (° CRK),* Intake Air Temperature (°C),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Lambda post cat heating 1 (%),* Lambda post cat heating 2 (%),* Lambda pre cat heating 1 (%),* Lambda pre cat heating 2 (%),* Mass Airflow (kg/h),* Oil Temperature (°C),* Radiator outlet temperature (°C),* Vehicle Speed (km/h),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
0,102.8,0,86.90,719,2.152,-1.224,32.731,4.88,47.2,-2.85,-3.94,99,99,99,99,11.25,93.7,66.8,0,0.27,0.28,-0.90,-0.33
161,103.5,0,86.79,720,2.152,-1.224,32.717,4.88,47.2,-2.70,-4.09,99,99,99,99,11.25,93.7,66.8,0,0.27,0.28,-0.90,-0.33
321,103.5,0,86.90,719,2.160,-1.218,32.751,4.88,47.2,-2.56,-4.23,99,99,99,99,11.25,93.7,66.8,0,0.27,0.28,-0.90,-0.33
481,103.5,0,86.54,722,2.152,-1.224,32.684,4.50,47.2,-2.41,-4.38,99,99,99,99,11.25,93.7,66.8,0,0.27,0.28,-0.90,-0.33
640,103.5,0,86.67,721,2.160,-1.224,32.684,4.50,47.2,-2.27,-4.53,99,99,99,99,11.25,93.7,66.8,0,0.27,0.28,-0.90,-0.33
800,103.5,0,86.79,720,2.164,-1.227,32.711,4.88,47.2,-2.12,-4.67,99,99,99,99,11.25,93.7,66.8,0,0.27,0.28,-0.90,-0.33
960,103.5,0,87.03,718,2.164,-1.221,32.711,5.25,47.2,-1.97,-3.26,99,99,99,99,11.25,93.7,66.8,0,0.27,0.28,-0.90,-0.33
1160,103.5,0,87.03,718,2.168,-1.206,33.270,4.50,47.2,-1.79,-3.07,99,99,99,99,11.25,93.7,66.8,0,0.27,0.28,-0.90,-0.33
1322,103.5,0,87.03,718,2.148,-1.175,33.786,4.12,47.2,-3.14,-2.93,99,99,99,99,11.25,93.7,66.8,0,0.27,0.28,-0.90,-0.33
1521,103.5,0,90.74,704,2.176,-1.105,34.460,4.88,47.2,-3.32,-2.74,99,99,99,99,11.50,93.7,66.8,0,0.27,0.28,-0.90,-0.33
1721,103.5,0,92.96,717,2.204,-1.019,35.237,3.38,47.2,-3.51,-2.56,99,99,99,99,12.00,93.7,67.5,0,0.27,0.28,-0.90,-0.33
