Time (msec),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Ignition Angle (° CRK),* Intake Air Temperature (°C),* Knock sensor 1 (V),* Knock sensor 2 (V),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Lambda post cat heating 1 (%),* Lambda post cat heating 2 (%),* Lambda pre cat heating 1 (%),* Lambda pre cat heating 2 (%),* Mass Airflow (kg/h),* Oil Temperature (°C),* Radiator outlet temperature (°C),* Throttle Position actual (°TPS),* Throttle Position pedal (°TPS),* Vehicle Speed (km/h),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
0,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
198,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
359,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
561,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
759,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
918,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1120,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1318,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1483,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1680,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1879,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2080,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2280,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2481,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2680,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2880,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3079,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3280,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3480,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3680,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3881,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4080,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4280,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4482,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4681,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4880,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
5081,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
5279,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
5479,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
5681,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
5879,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
6080,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
6280,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
6479,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
6680,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
6879,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
7040,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
7240,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
7440,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
7641,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
7840,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
8039,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
8239,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
8440,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
8640,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
8839,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
9040,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
9241,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
9440,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
