Time (msec),* Coolant Temperature (°C),* Electric fan (%),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Idle speed controller (%),* Idle speed duty cycle (%),* Ignition Angle (° CRK),* Intake Air Temperature (°C),* Knock sensor 1 (V),* Knock sensor 2 (V),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Lambda post cat heating 1 (%),* Lambda post cat heating 2 (%),* Lambda pre cat heating 1 (%),* Lambda pre cat heating 2 (%),* Mass Airflow (kg/h),* Oil Temperature (°C),* Radiator outlet temperature (°C),* Throttle Position actual (°TPS),* Throttle Position pedal (°TPS),* Throttle adaptation (V),* Vehicle Speed (km/h),* Battery voltage (V),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
0,102.8,0,92.30,722,3.020,1.334,34.144,4.50,69.0,0.10,0.10,12.80,12.67,99,99,99,99,12.00,95.3,70.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
160,102.8,0,91.92,725,3.012,1.325,34.114,4.50,69.0,0.10,0.10,12.80,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
320,102.8,0,91.67,727,3.012,1.306,34.114,4.12,69.0,0.10,0.10,12.80,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
521,102.8,0,91.80,726,3.008,1.285,34.065,4.12,69.0,0.10,0.10,12.80,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
720,102.8,0,91.80,726,3.000,1.267,34.065,4.12,69.0,0.10,0.10,12.80,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
880,102.8,0,92.18,723,2.992,1.260,34.065,4.50,69.0,0.10,0.10,12.80,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
1040,102.8,0,92.58,720,2.960,1.257,34.095,4.88,69.0,0.10,0.10,11.32,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
1217,102.8,0,92.58,720,2.960,1.260,34.048,4.88,69.0,0.10,0.10,11.17,11.26,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
1400,102.8,0,92.58,720,2.956,1.260,34.095,4.88,69.0,0.10,0.10,10.99,11.08,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
1601,102.8,0,92.58,720,2.952,1.257,34.065,4.88,69.0,0.10,0.10,10.81,10.89,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
1800,102.8,0,90.52,721,2.944,1.260,34.048,4.50,69.0,0.10,0.10,10.62,10.71,99,99,99,99,11.75,95.3,72.0,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
1960,102.8,0,92.83,718,2.936,1.264,34.111,5.25,69.0,0.10,0.10,10.48,10.56,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
2160,102.8,0,93.09,716,2.940,1.273,34.079,5.25,69.0,0.10,0.10,10.29,10.38,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
2319,102.8,0,91.80,711,2.980,1.285,34.111,6.00,69.0,0.10,0.10,11.63,10.23,99,99,99,99,11.75,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
2483,102.8,0,93.87,710,2.996,1.297,34.111,6.38,69.0,0.10,0.10,11.78,11.67,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
2682,102.8,0,93.09,716,2.996,1.309,34.098,5.25,69.0,0.10,0.10,11.96,11.85,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
2880,102.8,0,92.58,720,3.004,1.312,34.129,4.88,69.0,0.10,0.10,12.15,12.03,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
3040,102.8,0,92.05,724,3.008,1.309,34.195,4.50,69.0,0.10,0.10,12.29,12.18,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
3200,102.8,0,92.18,723,3.008,1.306,34.098,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
3360,102.8,0,91.92,725,3.008,1.300,34.144,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
3520,102.8,0,92.18,723,3.008,1.291,34.082,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
3680,102.8,0,92.18,723,3.008,1.288,34.129,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
3840,102.8,0,92.45,721,3.008,1.282,34.111,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
3999,102.8,0,92.30,722,3.004,1.273,34.082,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
4161,102.8,0,92.18,723,3.000,1.264,34.098,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
4362,102.8,0,91.92,725,2.952,1.254,34.111,4.12,69.0,0.10,0.10,10.80,10.72,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
4560,102.8,0,92.45,721,2.948,1.248,34.079,4.50,69.0,0.10,0.10,10.61,10.54,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
4720,102.8,0,92.58,720,2.944,1.248,34.031,4.88,69.0,0.10,0.10,10.47,10.39,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
4880,102.8,0,92.83,718,2.944,1.251,34.079,5.25,69.0,0.10,0.10,10.32,10.24,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
5041,102.8,0,93.09,716,2.952,1.264,34.095,5.25,69.0,0.10,0.10,10.17,10.10,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
5241,102.8,0,93.09,716,2.944,1.276,34.082,5.25,69.0,0.10,0.10,9.99,9.91,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
5442,102.8,0,92.71,719,2.936,1.285,34.111,5.25,69.0,0.10,0.10,9.81,9.73,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
5640,102.8,0,93.21,715,2.936,1.288,34.082,5.62,69.0,0.10,0.10,9.62,11.24,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
5802,102.8,0,92.58,720,2.932,1.291,34.129,4.88,69.0,0.10,0.10,9.48,11.38,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
6001,102.8,0,92.96,717,2.976,1.300,34.144,5.25,69.0,0.10,0.10,11.00,11.57,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
6200,102.8,0,92.58,720,2.972,1.306,34.114,4.88,69.0,0.10,0.10,11.19,11.75,99,99,99,99,12.00,95.3,74.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
